#      N    Ka    Kc     J  Itot     F   energy (meV)   lifetime (s)
       4     3     1   7/2     1   5/2      46.657555       0.508821 ± .000001
       4     3     1   7/2     1   7/2      46.657654       0.508835 ± .000001
       4     3     1   7/2     1   9/2      46.657791       0.508810 ± .000001
       5     2     4  11/2     1  13/2      47.657867       1.086970 ± .000003
       5     2     4  11/2     1  11/2      47.658069       1.087107 ± .000003
       5     2     4  11/2     1   9/2      47.658246       1.087066 ± .000003
       5     2     4   9/2     1   7/2      47.790837       1.077430 ± .000003
       5     2     4   9/2     1   9/2      47.790993       1.077430 ± .000003
       5     2     4   9/2     1  11/2      47.791179       1.077431 ± .000003
       5     2     3  11/2     0  11/2      49.830868       1.697987 ± .000005
       5     2     3   9/2     0   9/2      49.967499       1.677769 ± .000005
       6     0     6  13/2     1  15/2      50.333798       1.584604 ± .000016
       6     0     6  13/2     1  13/2      50.334009       1.584601 ± .000015
       6     0     6  13/2     1  11/2      50.334195       1.584490 ± .000015
       6     0     6  11/2     1   9/2      50.371005       1.585406 ± .000015
       6     0     6  11/2     1  11/2      50.371179       1.585116 ± .000016
       6     0     6  11/2     1  13/2      50.371390       1.585463 ± .000016
       6     1     6  13/2     0  13/2      50.569628       1.363070 ± .000006
       6     1     6  11/2     0  11/2      50.610864       1.360771 ± .000009
       5     3     3  11/2     1  13/2      59.466485       0.454140 ± .000002
       5     3     3  11/2     1  11/2      59.466659       0.454212 ± .000002
       5     3     3  11/2     1   9/2      59.466820       0.454193 ± .000002
       5     3     2  11/2     0  11/2      59.671939       0.469463 ± .000002
       5     3     3   9/2     1   7/2      59.711515       0.449592 ± .000002
       5     3     3   9/2     1   9/2      59.711639       0.449571 ± .000002
       5     3     3   9/2     1  11/2      59.711800       0.449310 ± .000002
       5     3     2   9/2     0   9/2      59.915072       0.464807 ± .000002
       6     1     5  13/2     1  15/2      60.088030       2.838844 ± .000052
       6     1     5  13/2     1  13/2      60.088241       2.839352 ± .000051
       6     1     5  13/2     1  11/2      60.088427       2.838929 ± .000051
       6     1     5  11/2     1   9/2      60.177522       2.822741 ± .000047
       6     1     5  11/2     1  11/2      60.177683       2.822408 ± .000047
