#      N    Ka    Kc     J  Itot     F   energy (meV)   lifetime (s)
       9     6     4  17/2     1  15/2     195.289908       0.075806 ± .000019
       9     6     4  17/2     1  17/2     195.290032       0.075769 ± .000019
       9     6     4  17/2     1  19/2     195.290181       0.074727 ± .000019
       9     6     3  17/2     0  17/2     195.291582       0.074630 ± .000019
       8     7     1  17/2     1  19/2     196.362438       0.057075 ± .000014
       8     7     2  17/2     0  17/2     196.362550       0.057034 ± .000014
       8     7     1  17/2     1  17/2     196.362566       0.057119 ± .000014
       8     7     1  17/2     1  15/2     196.362684       0.057083 ± .000014
       8     7     1  15/2     1  13/2     197.057063       0.057259 ± .000014
       8     7     1  15/2     1  15/2     197.057151       0.057301 ± .000014
       8     7     2  15/2     0  15/2     197.057152       0.057193 ± .000014
       8     7     1  15/2     1  17/2     197.057249       0.057233 ± .000014
      10     5     6  21/2     0  21/2     198.708243       0.103658 ± .000015
      10     5     5  21/2     1  23/2     198.826925       0.105845 ± .000015
      10     5     5  21/2     1  21/2     198.827105       0.106822 ± .000015
      10     5     5  21/2     1  19/2     198.827273       0.106814 ± .000015
      10     5     6  19/2     0  19/2     199.067796       0.103617 ± .000015
      10     5     5  19/2     1  17/2     199.184543       0.109008 ± .000016
      10     5     5  19/2     1  19/2     199.184691       0.109002 ± .000016
      10     5     5  19/2     1  21/2     199.184865       0.105948 ± .000015
      11     3     8  23/2     0  23/2     199.542591       0.416794 ± .000082
      11     3     8  21/2     0  21/2     199.732712       0.418657 ± .000081
      12     1    11  25/2     1  27/2     200.056505       0.200344 ± .000039
      12     1    11  25/2     1  25/2     200.056703       0.201632 ± .000040
      12     1    11  25/2     1  23/2     200.056889       0.201544 ± .000039
      12     1    11  23/2     1  21/2     200.174749       0.202256 ± .000040
      12     1    11  23/2     1  23/2     200.174922       0.202347 ± .000040
      12     1    11  23/2     1  25/2     200.175121       0.200861 ± .000039
      12     2    11  25/2     0  25/2     200.191102       0.193618 ± .000033
      12     2    11  23/2     0  23/2     200.311255       0.193980 ± .000033
      13     0    13  27/2     0  27/2     204.273629       0.178863 ± .000058
      13     1    13  27/2     1  29/2     204.275736       0.178781 ± .000058
      13     1    13  27/2     1  27/2     204.275947       0.179771 ± .000058
      13     1    13  27/2     1  25/2     204.276133       0.179854 ± .000058
      13     0    13  25/2     0  25/2     204.316750       0.179606 ± .000058
      13     1    13  25/2     1  23/2     204.318846       0.180726 ± .000058
      13     1    13  25/2     1  25/2     204.319032       0.180643 ± .000058
      13     1    13  25/2     1  27/2     204.319242       0.179523 ± .000058
      11     4     8  23/2     1  25/2     208.377468       0.149527 ± .000019
      11     4     8  23/2     1  23/2     208.377665       0.150639 ± .000020
      11     4     8  23/2     1  21/2     208.377837       0.150597 ± .000020
      11     4     8  21/2     1  19/2     208.633920       0.150928 ± .000020
      11     4     8  21/2     1  21/2     208.634096       0.150966 ± .000020
      11     4     8  21/2     1  23/2     208.634271       0.149592 ± .000020
      11     4     7  23/2     0  23/2     210.791924       0.203849 ± .000029
      11     4     7  21/2     0  21/2     211.041429       0.203756 ± .000028
      12     2    10  25/2     1  27/2     219.237888       0.236700 ± .000070
      12     2    10  25/2     1  25/2     219.238098       0.238183 ± .000071
      12     2    10  25/2     1  23/2     219.238272       0.238002 ± .000071
      12     2    10  23/2     1  21/2     219.404361       0.239232 ± .000071
      12     2    10  23/2     1  23/2     219.404535       0.239420 ± .000071
      12     2    10  23/2     1  25/2     219.404733       0.237607 ± .000070
       9     7     3  19/2     1  21/2     220.116762       0.055208 ± .000013
       9     7     3  19/2     1  19/2     220.116906       0.055822 ± .000013
       9     7     2  19/2     0  19/2     220.116918       0.055168 ± .000013
       9     7     3  19/2     1  17/2     220.117039       0.055852 ± .000013
       9     7     3  17/2     1  15/2     220.759506       0.056127 ± .000013
       9     7     3  17/2     1  17/2     220.759612       0.056072 ± .000013
       9     7     2  17/2     0  17/2     220.759655       0.055252 ± .000013
       9     7     3  17/2     1  19/2     220.759740       0.055303 ± .000013
      12     3    10  25/2     0  25/2     220.793406       0.174058 ± .000024
      12     3    10  23/2     0  23/2     220.978054       0.174275 ± .000024
      10     6     5  21/2     0  21/2     221.027636       0.072158 ± .000017
      10     6     4  21/2     1  23/2     221.033179       0.072211 ± .000017
      10     6     4  21/2     1  21/2     221.033352       0.072863 ± .000017
      10     6     4  21/2     1  19/2     221.033501       0.072864 ± .000017
      10     6     5  19/2     0  19/2     221.497400       0.072220 ± .000017
      10     6     4  19/2     1  17/2     221.502907       0.073101 ± .000017
      10     6     4  19/2     1  19/2     221.503054       0.073080 ± .000017
      10     6     4  19/2     1  21/2     221.503203       0.072277 ± .000017
       8     8     0  17/2     1  19/2     223.802937       0.045078 ± .000011
       8     8     1  17/2     0  17/2     223.803032       0.045072 ± .000011
       8     8     0  17/2     1  17/2     223.803050       0.045716 ± .000011
       8     8     0  17/2     1  15/2     223.803140       0.045780 ± .000011
       8     8     0  15/2     1  13/2     224.699361       0.046065 ± .000011
       8     8     0  15/2     1  15/2     224.699434       0.045964 ± .000011
       8     8     1  15/2     0  15/2     224.699435       0.045125 ± .000011
       8     8     0  15/2     1  17/2     224.699503       0.045146 ± .000011
      11     5     7  23/2     1  25/2     227.521613       0.099639 ± .000020
      11     5     7  23/2     1  23/2     227.521802       0.100399 ± .000020
      11     5     7  23/2     1  21/2     227.521966       0.108163 ± .000023
      11     5     6  23/2     0  23/2     227.806141       0.106391 ± .000020
      11     5     7  21/2     1  19/2     227.865166       0.108376 ± .000023
      11     5     7  21/2     1  21/2     227.865322       0.108312 ± .000023
      11     5     7  21/2     1  23/2     227.865490       0.099675 ± .000020
      11     5     6  21/2     0  21/2     228.147624       0.106428 ± .000020
      13     1    12  27/2     0  27/2     230.355574       0.161848 ± .000044
      13     2    12  27/2     1  29/2     230.430101       0.159224 ± .000040
      13     2    12  27/2     1  27/2     230.430300       0.160112 ± .000040
      13     2    12  27/2     1  25/2     230.430486       0.160062 ± .000040
      13     1    12  25/2     0  25/2     230.475690       0.162151 ± .000044
      13     2    12  25/2     1  23/2     230.551271       0.160477 ± .000040
      13     2    12  25/2     1  25/2     230.551457       0.160546 ± .000040
      13     2    12  25/2     1  27/2     230.551655       0.159515 ± .000040
      12     3     9  25/2     1  27/2     232.299783       0.343627 ± .000075
      12     3     9  25/2     1  25/2     232.299981       0.345835 ± .000076
      12     3     9  25/2     1  23/2     232.300167       0.345680 ± .000076
      12     3     9  23/2     1  21/2     232.493508       0.347103 ± .000076
      12     3     9  23/2     1  23/2     232.493694       0.347283 ± .000076
      12     3     9  23/2     1  25/2     232.493880       0.344689 ± .000075
      14     0    14  29/2     1  31/2     234.448887       0.148327 ± .000061
      14     0    14  29/2     1  29/2     234.449086       0.149046 ± .000061
      14     0    14  29/2     1  27/2     234.449284       0.149115 ± .000061
      14     1    14  29/2     0  29/2     234.450288       0.148259 ± .000061
      14     0    14  27/2     1  25/2     234.492493       0.149769 ± .000062
      14     0    14  27/2     1  27/2     234.492679       0.149665 ± .000062
      14     0    14  27/2     1  29/2     234.492877       0.148840 ± .000061
      14     1    14  27/2     0  27/2     234.493906       0.148806 ± .000061
      12     4     9  25/2     0  25/2     239.436760       0.137524 ± .000025
      12     4     9  23/2     0  23/2     239.687996       0.137725 ± .000026
      12     4     8  25/2     1  27/2     243.427894       0.213498 ± .000046
      12     4     8  25/2     1  25/2     243.428089       0.214836 ± .000047
      12     4     8  25/2     1  23/2     243.428271       0.214916 ± .000047
      12     4     8  23/2     1  21/2     243.670553       0.214941 ± .000047
      12     4     8  23/2     1  23/2     243.670735       0.214927 ± .000047
      12     4     8  23/2     1  25/2     243.670917       0.213346 ± .000046
      10     7     4  21/2     0  21/2     246.423182       0.053437 ± .000012
      10     7     3  21/2     1  23/2     246.423207       0.053479 ± .000012
      10     7     3  21/2     1  21/2     246.423367       0.053972 ± .000012
      10     7     3  21/2     1  19/2     246.423503       0.053979 ± .000012
      10     7     4  19/2     0  19/2     247.025605       0.053473 ± .000012
      10     7     3  19/2     1  17/2     247.025643       0.054138 ± .000012
      10     7     3  19/2     1  19/2     247.025764       0.054117 ± .000012
      10     7     3  19/2     1  21/2     247.025895       0.053521 ± .000012
       9     8     2  19/2     1  21/2     247.739185       0.043691 ± .000010
       9     8     1  19/2     0  19/2     247.739297       0.043668 ± .000010
       9     8     2  19/2     1  19/2     247.739302       0.044176 ± .000010
       9     8     2  19/2     1  17/2     247.739421       0.044211 ± .000010
       9     8     2  17/2     1  15/2     248.565363       0.044387 ± .000010
       9     8     2  17/2     1  17/2     248.565454       0.044329 ± .000010
       9     8     1  17/2     0  17/2     248.565456       0.043692 ± .000010
       9     8     2  17/2     1  19/2     248.565554       0.043720 ± .000010
      11     6     6  23/2     1  25/2     249.819326       0.070328 ± .000016
      11     6     6  23/2     1  23/2     249.819502       0.070878 ± .000016
      11     6     6  23/2     1  21/2     249.819654       0.070869 ± .000016
      11     6     5  23/2     0  23/2     249.837163       0.070264 ± .000016
      11     6     6  21/2     1  19/2     250.266155       0.070997 ± .000016
      11     6     6  21/2     1  21/2     250.266292       0.071001 ± .000016
      11     6     6  21/2     1  23/2     250.266467       0.070366 ± .000016
      11     6     5  21/2     0  21/2     250.283900       0.070236 ± .000016
      13     2    11  27/2     0  27/2     251.933720       0.198143 ± .000066
      13     2    11  25/2     0  25/2     252.106740       0.198767 ± .000066
      13     3    11  27/2     1  29/2     252.913852       0.162462 ± .000034
      13     3    11  27/2     1  27/2     252.914050       0.163369 ± .000034
      13     3    11  27/2     1  25/2     252.914236       0.163275 ± .000034
      13     3    11  25/2     1  23/2     253.098886       0.163642 ± .000035
      13     3    11  25/2     1  25/2     253.099060       0.163723 ± .000035
      13     3    11  25/2     1  27/2     253.099258       0.162671 ± .000035
      12     5     8  25/2     0  25/2     258.870307       0.107675 ± .000026
      12     5     8  23/2     0  23/2     259.202084       0.107570 ± .000026
      12     5     7  25/2     1  27/2     259.483796       0.107179 ± .000023
      12     5     7  25/2     1  25/2     259.483987       0.107872 ± .000023
      12     5     7  25/2     1  23/2     259.484153       0.107885 ± .000023
      12     5     7  23/2     1  21/2     259.811967       0.107966 ± .000023
      12     5     7  23/2     1  23/2     259.812132       0.107963 ± .000023
      12     5     7  23/2     1  25/2     259.812309       0.107146 ± .000022
      14     1    13  29/2     1  31/2     262.655228       0.134072 ± .000045
      14     1    13  29/2     1  29/2     262.655426       0.134717 ± .000045
      14     1    13  29/2     1  27/2     262.655621       0.134670 ± .000045
      14     2    13  29/2     0  29/2     262.696824       0.132824 ± .000044
      14     1    13  27/2     1  25/2     262.776869       0.134988 ± .000045
      14     1    13  27/2     1  27/2     262.777051       0.135055 ± .000045
      14     1    13  27/2     1  29/2     262.777253       0.134310 ± .000045
      14     2    13  27/2     0  27/2     262.819075       0.133022 ± .000044
      15     0    15  31/2     0  31/2     266.649208       0.124917 ± .000048
      15     1    15  31/2     1  33/2     266.649669       0.124888 ± .000048
      15     1    15  31/2     1  31/2     266.649867       0.125436 ± .000048
      15     1    15  31/2     1  29/2     266.650065       0.125436 ± .000048
      15     0    15  29/2     0  29/2     266.693361       0.125291 ± .000048
      15     1    15  29/2     1  27/2     266.693806       0.125928 ± .000049
      15     1    15  29/2     1  29/2     266.693993       0.125870 ± .000049
      15     1    15  29/2     1  31/2     266.694191       0.125262 ± .000048
      13     3    10  27/2     0  27/2     267.324559       0.451284 ± .000179
      13     3    10  25/2     0  25/2     267.524620       0.453713 ± .000181
      13     4    10  27/2     1  29/2     272.826977       0.155300 ± .000039
      13     4    10  27/2     1  27/2     272.827175       0.156131 ± .000040
      13     4    10  27/2     1  25/2     272.827361       0.156045 ± .000039
      13     4    10  25/2     1  23/2     273.074972       0.156172 ± .000039
      13     4    10  25/2     1  25/2     273.075144       0.156274 ± .000039
      13     4    10  25/2     1  27/2     273.075330       0.155270 ± .000039
      10     8     2  21/2     1  23/2     274.220022       0.042352 ± .000009
      10     8     3  21/2     0  21/2     274.220148       0.042329 ± .000009
      10     8     2  21/2     1  21/2     274.220167       0.042734 ± .000009
      10     8     2  21/2     1  19/2     274.220289       0.042748 ± .000009
      10     8     2  19/2     1  17/2     274.991269       0.046315 ± .000011
      10     8     2  19/2     1  19/2     274.991368       0.042826 ± .000009
      10     8     3  19/2     0  19/2     274.991381       0.042318 ± .000009
      10     8     2  19/2     1  21/2     274.991497       0.042346 ± .000009
      11     7     5  23/2     1  25/2     275.261159       0.051918 ± .000011
      11     7     5  23/2     1  23/2     275.261321       0.052303 ± .000011
      11     7     5  23/2     1  21/2     275.261471       0.052301 ± .000011
      11     7     4  23/2     0  23/2     275.261993       0.051882 ± .000011
      11     7     5  21/2     1  19/2     275.831796       0.052409 ± .000011
      11     7     5  21/2     1  21/2     275.831932       0.052396 ± .000011
      11     7     5  21/2     1  23/2     275.832079       0.051926 ± .000011
      11     7     4  21/2     0  21/2     275.832630       0.051883 ± .000011
       9     9     1  19/2     1  21/2     276.702898       0.037794 ± .000009
       9     9     0  19/2     0  19/2     276.702995       0.037794 ± .000009
       9     9     1  19/2     1  19/2     276.703006       0.038214 ± .000009
       9     9     1  19/2     1  17/2     276.703103       0.038258 ± .000009
       9     9     1  17/2     1  15/2     277.783953       0.038346 ± .000009
       9     9     1  17/2     1  17/2     277.784015       0.038284 ± .000009
       9     9     0  17/2     0  17/2     277.784027       0.037750 ± .000009
       9     9     1  17/2     1  19/2     277.784090       0.037750 ± .000009
      13     4     9  27/2     0  27/2     278.872301       2.207093 ± .000843
      13     4     9  25/2     0  25/2     279.110867       2.186355 ± .000838
      12     6     7  25/2     0  25/2     281.149732       0.068982 ± .000015
      12     6     6  25/2     1  27/2     281.197295       0.068858 ± .000015
      12     6     6  25/2     1  25/2     281.197472       0.069303 ± .000015
      12     6     6  25/2     1  23/2     281.197637       0.069304 ± .000015
      12     6     7  23/2     0  23/2     281.578057       0.068962 ± .000015
      12     6     6  23/2     1  21/2     281.625645       0.069375 ± .000015
      12     6     6  23/2     1  23/2     281.625809       0.069382 ± .000015
      12     6     6  23/2     1  25/2     281.625973       0.068873 ± .000015
      14     2    12  29/2     1  31/2     286.513803       0.152849 ± .000048
      14     2    12  29/2     1  29/2     286.513999       0.153582 ± .000048
      14     2    12  29/2     1  27/2     286.514196       0.192895 ± .000071
      14     2    12  27/2     1  25/2     286.692170       0.194098 ± .000072
      14     2    12  27/2     1  27/2     286.692346       0.194008 ± .000072
      14     2    12  27/2     1  29/2     286.692546       0.153191 ± .000048
      14     3    12  29/2     0  29/2     287.113805       0.136282 ± .000040
      14     3    12  27/2     0  27/2     287.299834       0.169325 ± .000060
      13     5     9  27/2     1  29/2     292.710877       0.108335 ± .000025
      13     5     9  27/2     1  27/2     292.711070       0.108932 ± .000025
      13     5     9  27/2     1  25/2     292.711251       0.108896 ± .000025
      13     5     9  25/2     1  23/2     293.033715       0.128269 ± .000032
      13     5     9  25/2     1  25/2     293.033882       0.108896 ± .000025
      13     5     9  25/2     1  27/2     293.034062       0.108199 ± .000025
      13     5     8  27/2     0  27/2     293.912965       0.109971 ± .000024
      13     5     8  25/2     0  25/2     294.229729       0.109858 ± .000024
      15     1    14  31/2     0  31/2     296.952589       0.130503 ± .000047
      15     2    14  31/2     1  33/2     296.975367       0.129844 ± .000047
      15     2    14  31/2     1  31/2     296.975565       0.130353 ± .000047
      15     2    14  31/2     1  29/2     296.975764       0.130413 ± .000047
      15     1    14  29/2     0  29/2     297.075573       0.131015 ± .000047
      15     2    14  29/2     1  27/2     297.098678       0.131015 ± .000047
      15     2    14  29/2     1  29/2     297.098864       0.130955 ± .000047
      15     2    14  29/2     1  31/2     297.099063       0.130323 ± .000047
      16     0    16  33/2     1  35/2     300.864171       0.106566 ± .000039
      16     0    16  33/2     1  33/2     300.864381       0.106984 ± .000039
      16     0    16  33/2     1  31/2     300.864567       0.107009 ± .000039
      16     1    16  33/2     0  33/2     300.864723       0.106566 ± .000039
      16     0    16  31/2     1  29/2     300.908888       0.107355 ± .000039
      16     0    16  31/2     1  31/2     300.909087       0.107330 ± .000039
      16     0    16  31/2     1  33/2     300.909285       0.106886 ± .000039
      16     1    16  31/2     0  31/2     300.909435       0.106886 ± .000039
      11     8     4  23/2     1  25/2     303.219692       0.044897 ± .000010
      11     8     4  23/2     1  23/2     303.219848       0.045229 ± .000010
      11     8     3  23/2     0  23/2     303.219849       0.044887 ± .000010
      11     8     4  23/2     1  21/2     303.219979       0.045261 ± .000010
      10     9     1  21/2     1  23/2     303.501056       0.037370 ± .000008
      10     9     2  21/2     0  21/2     303.501164       0.037370 ± .000008
      10     9     1  21/2     1  21/2     303.501175       0.037707 ± .000008
      10     9     1  21/2     1  19/2     303.501283       0.037742 ± .000008
      11     8     4  21/2     1  19/2     303.947397       0.045386 ± .000010
      11     8     4  21/2     1  21/2     303.947517       0.045334 ± .000010
      11     8     3  21/2     0  21/2     303.947552       0.044928 ± .000010
      11     8     4  21/2     1  23/2     303.947661       0.044928 ± .000010
      10     9     1  19/2     1  17/2     304.505868       0.037794 ± .000008
      10     9     2  19/2     0  19/2     304.505964       0.037327 ± .000008
      10     9     1  19/2     1  19/2     304.505966       0.037742 ± .000008
      10     9     1  19/2     1  21/2     304.506062       0.037327 ± .000008
      12     7     6  25/2     0  25/2     306.610458       0.056614 ± .000012
      12     7     5  25/2     1  27/2     306.612659       0.056574 ± .000012
      12     7     5  25/2     1  25/2     306.612826       0.056940 ± .000012
      12     7     5  25/2     1  23/2     306.612983       0.056980 ± .000012
      12     7     6  23/2     0  23/2     307.155757       0.056692 ± .000012
      12     7     5  23/2     1  21/2     307.157932       0.057111 ± .000012
      12     7     5  23/2     1  23/2     307.158077       0.057072 ± .000012
      12     7     5  23/2     1  25/2     307.158232       0.056653 ± .000012
